customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Refined_Segment,loyalty_tier,support_ticket_count,city_tier,age_group,acquisition_channel
CUST00061,3,5,2511.7200000000003,5,4,3,02_Loyal & Engaged,None,1,Tier 3,35-44,Referral
CUST00062,50,5,3135.08,3,4,4,02_Loyal & Engaged,Silver,1,Tier 3,25-34,Referral
CUST00063,277,1,397.69,1,1,1,05_At-Risk (High Concern),None,1,Tier 1,18-24,Influencer
CUST00064,27,3,1634.0,4,2,2,03_Promising,None,0,Tier 1,45+,Google Search
CUST00065,1,4,3966.91,5,3,4,03_Promising,None,0,Tier 2,25-34,Referral
CUST00066,381,5,4598.95,1,4,4,08_Unclassified,None,1,Tier 1,18-24,Instagram
CUST00067,124,2,1246.44,2,1,2,05_At-Risk (High Concern),Silver,1,Tier 1,18-24,Google Search
CUST00068,407,3,2123.66,1,2,3,05_At-Risk (High Concern),Silver,1,Tier 1,18-24,Google Search
CUST00069,90,2,874.47,3,1,1,08_Unclassified,None,0,Tier 2,25-34,Instagram
CUST00070,99,1,542.98,3,1,1,08_Unclassified,Gold,0,Tier 1,25-34,Organic
CUST00071,93,1,2062.5,3,1,2,08_Unclassified,None,1,Tier 3,25-34,Influencer
CUST00072,151,4,2587.02,2,3,3,04_Needs Nurturing,None,0,Tier 1,35-44,Organic
CUST00073,45,7,6253.77,3,5,5,04_Needs Nurturing,None,0,Tier 2,25-34,Google Search
CUST00074,26,5,2884.48,4,4,3,02_Loyal & Engaged,Platinum,1,Tier 2,25-34,Instagram
CUST00075,44,11,7714.719999999999,3,5,5,02_Loyal & Engaged,None,4,Tier 3,45+,Referral
CUST00076,1,4,2888.0299999999997,5,3,3,03_Promising,None,0,Tier 1,45+,Referral
CUST00077,170,1,394.32,2,1,1,06_At-Risk (Dormant),None,0,Tier 3,25-34,Google Search
CUST00078,200,1,894.45,1,1,1,05_At-Risk (High Concern),None,1,Tier 2,25-34,Referral
CUST00079,252,1,619.57,1,1,1,06_At-Risk (Dormant),Silver,0,Tier 2,18-24,Marketplace
CUST00080,8,4,2832.98,5,3,3,02_Loyal & Engaged,Gold,0,Tier 2,25-34,Organic
CUST00081,41,9,5805.78,4,5,5,01_Champions,Silver,3,Tier 3,18-24,Google Search
CUST00082,315,3,1671.25,1,2,2,06_At-Risk (Dormant),None,0,Tier 3,25-34,Referral
CUST00083,150,2,806.87,2,1,1,05_At-Risk (High Concern),None,1,Tier 2,45+,Marketplace
CUST00084,228,1,1273.18,1,1,2,06_At-Risk (Dormant),Silver,0,Tier 1,25-34,Google Search
CUST00085,75,1,1257.8,3,1,2,08_Unclassified,None,0,Tier 2,18-24,Google Search
CUST00086,40,6,3003.66,4,4,3,02_Loyal & Engaged,Silver,1,Tier 1,45+,Influencer
CUST00087,28,4,3610.9700000000003,4,3,4,03_Promising,None,0,Tier 1,25-34,Marketplace
CUST00088,159,12,6774.5,2,5,5,04_Needs Nurturing,Gold,1,Tier 2,45+,Organic
CUST00089,226,2,2825.75,1,1,3,06_At-Risk (Dormant),None,0,Tier 3,25-34,Marketplace
CUST00090,50,5,2498.83,3,4,3,02_Loyal & Engaged,Platinum,1,Tier 1,18-24,Referral
CUST00091,18,5,5844.34,5,4,5,02_Loyal & Engaged,Platinum,1,Tier 1,35-44,Instagram
CUST00092,34,2,1155.25,4,1,1,08_Unclassified,None,0,Tier 3,25-34,Instagram
CUST00093,146,1,759.64,2,1,1,06_At-Risk (Dormant),Gold,0,Tier 1,18-24,Instagram
CUST00094,244,4,3557.43,1,3,4,08_Unclassified,None,2,Tier 1,25-34,Instagram
CUST00095,126,1,372.65,2,1,1,05_At-Risk (High Concern),None,1,Tier 2,25-34,Instagram
CUST00096,45,4,2403.64,3,3,3,02_Loyal & Engaged,None,1,Tier 3,25-34,Organic
CUST00097,29,8,5040.67,4,5,5,02_Loyal & Engaged,None,2,Tier 3,45+,Instagram
CUST00098,245,2,1843.57,1,1,2,05_At-Risk (High Concern),None,1,Tier 2,18-24,Instagram
CUST00099,45,6,3861.8199999999997,3,4,4,02_Loyal & Engaged,None,1,Tier 2,45+,Organic
CUST00100,3,3,2209.4,5,2,3,03_Promising,None,0,Tier 1,25-34,Referral
CUST00101,169,5,3514.87,2,4,4,04_Needs Nurturing,None,2,Tier 3,35-44,Marketplace
CUST00102,18,2,2048.62,5,1,2,03_Promising,None,0,Tier 2,35-44,Organic
CUST00103,7,3,2581.31,5,2,3,03_Promising,None,0,Tier 2,25-34,Marketplace
CUST00104,154,1,955.63,2,1,1,06_At-Risk (Dormant),None,0,Tier 1,35-44,Organic
CUST00105,40,2,2846.2999999999997,4,1,3,03_Promising,None,0,Tier 3,18-24,Instagram
CUST00106,122,7,4352.11,2,5,4,04_Needs Nurturing,None,1,Tier 3,25-34,Influencer
CUST00107,32,4,3891.05,4,3,4,03_Promising,None,0,Tier 2,18-24,Organic
CUST00108,105,1,1074.5,3,1,1,08_Unclassified,None,1,Tier 3,18-24,Organic
CUST00109,60,6,4566.15,3,4,4,02_Loyal & Engaged,Silver,0,Tier 1,25-34,Instagram
CUST00110,96,6,3922.07,3,4,4,02_Loyal & Engaged,None,2,Tier 2,35-44,Referral
CUST00111,239,1,1135.09,1,1,1,06_At-Risk (Dormant),Silver,0,Tier 2,25-34,Google Search
CUST00112,34,9,6542.4,4,5,5,02_Loyal & Engaged,None,1,Tier 1,18-24,Marketplace
CUST00113,8,3,2095.48,5,2,2,03_Promising,Silver,0,Tier 1,35-44,Google Search
CUST00114,300,6,5133.53,1,4,5,08_Unclassified,None,1,Tier 1,25-34,Google Search
CUST00115,220,1,596.54,1,1,1,05_At-Risk (High Concern),Gold,1,Tier 3,35-44,Instagram
CUST00116,204,6,5635.9,1,4,5,08_Unclassified,None,0,Tier 1,25-34,Referral
CUST00117,184,4,2534.33,2,3,3,04_Needs Nurturing,Silver,0,Tier 1,18-24,Marketplace
CUST00118,14,4,2001.17,5,3,2,03_Promising,Silver,0,Tier 3,25-34,Referral
CUST00119,6,6,4466.32,5,4,4,02_Loyal & Engaged,None,1,Tier 1,25-34,Instagram
CUST00120,32,2,755.8399999999999,4,1,1,08_Unclassified,Silver,0,Tier 2,25-34,Referral
CUST00121,23,3,3028.88,4,2,3,03_Promising,Gold,0,Tier 1,18-24,Instagram
CUST00122,167,2,2048.93,2,1,2,06_At-Risk (Dormant),Gold,0,Tier 2,25-34,Google Search
CUST00123,29,7,3742.48,4,5,4,01_Champions,Silver,3,Tier 2,18-24,Google Search
CUST00124,255,4,2570.5,1,3,3,08_Unclassified,None,0,Tier 2,25-34,Marketplace
CUST00125,17,3,2455.21,5,2,3,03_Promising,None,0,Tier 2,18-24,Referral
CUST00126,118,2,1260.02,2,1,2,06_At-Risk (Dormant),Silver,0,Tier 3,18-24,Instagram
CUST00127,18,3,1136.12,5,2,1,03_Promising,Silver,0,Tier 1,18-24,Marketplace
CUST00128,6,3,2233.06,5,2,3,03_Promising,None,0,Tier 2,25-34,Organic
CUST00129,32,5,4049.54,4,4,4,02_Loyal & Engaged,None,2,Tier 1,25-34,Google Search
CUST00130,57,2,1850.58,3,1,2,08_Unclassified,Gold,0,Tier 1,25-34,Organic
CUST00131,128,6,6830.01,2,4,5,04_Needs Nurturing,None,0,Tier 3,35-44,Influencer
CUST00132,178,5,4876.780000000001,2,4,5,04_Needs Nurturing,None,0,Tier 2,35-44,Organic
CUST00133,12,10,7152.29,5,5,5,01_Champions,None,1,Tier 1,45+,Instagram
CUST00134,19,6,4696.0199999999995,4,4,4,02_Loyal & Engaged,None,3,Tier 2,25-34,Marketplace
CUST00135,394,4,2534.18,1,3,3,08_Unclassified,None,0,Tier 1,25-34,Google Search
CUST00136,132,1,514.9,2,1,1,06_At-Risk (Dormant),Gold,0,Tier 2,35-44,Instagram
CUST00137,238,2,1035.87,1,1,1,06_At-Risk (Dormant),Silver,0,Tier 2,25-34,Instagram
CUST00138,36,2,1424.6100000000001,4,1,2,03_Promising,None,0,Tier 2,45+,Instagram
CUST00139,14,4,3008.66,5,3,3,02_Loyal & Engaged,None,2,Tier 2,45+,Influencer
CUST00140,33,5,4083.36,4,4,4,02_Loyal & Engaged,None,2,Tier 3,25-34,Referral
CUST00141,20,2,1055.28,4,1,1,08_Unclassified,None,0,Tier 1,25-34,Referral
CUST00142,230,5,1880.0,1,4,2,06_At-Risk (Dormant),None,0,Tier 2,25-34,Instagram
CUST00143,51,7,7890.950000000001,3,5,5,02_Loyal & Engaged,Silver,0,Tier 2,18-24,Google Search
CUST00144,42,10,8510.65,4,5,5,01_Champions,Gold,3,Tier 2,25-34,Google Search
CUST00145,91,1,502.35,3,1,1,08_Unclassified,None,0,Tier 1,18-24,Google Search
CUST00146,6,6,6990.9400000000005,5,4,5,01_Champions,Silver,1,Tier 2,35-44,Instagram
CUST00147,27,4,3412.56,4,3,4,02_Loyal & Engaged,Platinum,1,Tier 3,45+,Influencer
CUST00148,15,5,3702.7,5,4,4,02_Loyal & Engaged,None,1,Tier 2,35-44,Instagram
CUST00149,10,3,2362.6400000000003,5,2,3,03_Promising,None,0,Tier 3,18-24,Instagram
CUST00150,35,5,2641.09,4,4,3,03_Promising,None,0,Tier 2,25-34,Marketplace
CUST00151,44,8,6240.6,3,5,5,02_Loyal & Engaged,None,3,Tier 2,35-44,Google Search
CUST00152,10,8,5508.0,5,5,5,01_Champions,Silver,4,Tier 3,18-24,Google Search
CUST00153,26,3,1619.74,4,2,2,03_Promising,Gold,0,Tier 3,25-34,Instagram
CUST00154,42,10,8542.89,4,5,5,01_Champions,Gold,0,Tier 2,25-34,Google Search
CUST00155,32,4,2343.2799999999997,4,3,3,03_Promising,None,0,Tier 1,25-34,Marketplace
CUST00156,28,3,4831.42,4,2,5,03_Promising,None,1,Tier 1,25-34,Referral
CUST00157,61,5,2269.91,3,4,3,02_Loyal & Engaged,None,1,Tier 3,35-44,Marketplace
CUST00158,216,1,812.34,1,1,1,06_At-Risk (Dormant),None,0,Tier 3,25-34,Instagram
CUST00159,535,2,3713.77,1,1,4,06_At-Risk (Dormant),Silver,0,Tier 2,35-44,Organic
CUST00160,238,2,1064.66,1,1,1,05_At-Risk (High Concern),None,1,Tier 2,18-24,Organic
CUST00161,14,7,6171.42,5,5,5,01_Champions,Silver,0,Tier 1,25-34,Instagram
CUST00162,152,2,1194.5900000000001,2,1,2,06_At-Risk (Dormant),Gold,0,Tier 3,18-24,Instagram
CUST00163,22,2,1100.06,4,1,1,08_Unclassified,Silver,0,Tier 2,25-34,Google Search
CUST00164,283,5,4657.03,1,4,4,08_Unclassified,Platinum,1,Tier 1,25-34,Marketplace
CUST00165,37,4,2287.08,4,3,3,02_Loyal & Engaged,Gold,0,Tier 2,18-24,Instagram
CUST00166,38,3,3227.7,4,2,4,03_Promising,Silver,1,Tier 3,35-44,Organic
CUST00167,280,1,423.24,1,1,1,06_At-Risk (Dormant),None,0,Tier 1,25-34,Influencer
CUST00168,13,5,4794.47,5,4,5,03_Promising,Platinum,0,Tier 1,25-34,Influencer
CUST00169,283,1,1799.45,1,1,2,06_At-Risk (Dormant),Gold,0,Tier 2,25-34,Referral
CUST00170,17,12,7634.5599999999995,5,5,5,01_Champions,None,1,Tier 2,25-34,Google Search
CUST00171,31,4,3416.04,4,3,4,03_Promising,None,0,Tier 1,25-34,Influencer
CUST00172,45,8,6232.719999999999,3,5,5,02_Loyal & Engaged,Silver,3,Tier 3,45+,Instagram
CUST00173,43,6,2018.8200000000002,3,4,2,04_Needs Nurturing,None,1,Tier 1,45+,Referral
CUST00174,3,7,3507.37,5,5,4,01_Champions,Gold,2,Tier 1,45+,Referral
CUST00175,120,4,3568.3199999999997,2,3,4,04_Needs Nurturing,None,1,Tier 3,25-34,Referral
CUST00176,10,4,6283.41,5,3,5,03_Promising,None,0,Tier 2,25-34,Instagram
CUST00177,13,5,5158.25,5,4,5,03_Promising,None,0,Tier 1,25-34,Marketplace
CUST00178,33,9,5965.32,4,5,5,02_Loyal & Engaged,None,4,Tier 1,45+,Marketplace
CUST00179,36,4,1767.07,4,3,2,03_Promising,Silver,2,Tier 3,45+,Organic
CUST00180,157,2,1570.85,2,1,2,05_At-Risk (High Concern),None,1,Tier 2,35-44,Google Search
CUST00181,35,2,1815.8899999999999,4,1,2,03_Promising,Silver,0,Tier 1,35-44,Referral
CUST00182,60,2,672.78,3,1,1,08_Unclassified,None,0,Tier 1,18-24,Referral
CUST00183,213,3,3246.8900000000003,1,2,4,05_At-Risk (High Concern),None,1,Tier 2,25-34,Instagram
CUST00184,75,5,5072.85,3,4,5,02_Loyal & Engaged,Platinum,2,Tier 1,18-24,Instagram
CUST00185,25,9,5475.0,4,5,5,03_Promising,None,0,Tier 3,35-44,Marketplace
CUST00186,16,2,2279.63,5,1,3,03_Promising,Platinum,1,Tier 3,18-24,Instagram
CUST00187,53,4,2223.79,3,3,3,02_Loyal & Engaged,None,1,Tier 2,25-34,Referral
CUST00188,90,7,5810.17,3,5,5,02_Loyal & Engaged,Gold,3,Tier 2,18-24,Marketplace
CUST00189,4,11,8207.06,5,5,5,01_Champions,None,3,Tier 1,25-34,Referral
CUST00190,18,2,854.78,5,1,1,08_Unclassified,None,1,Tier 2,25-34,Marketplace
CUST00191,9,3,945.03,5,2,1,03_Promising,Silver,0,Tier 3,45+,Influencer
CUST00192,2,6,3657.1499999999996,5,4,4,03_Promising,None,0,Tier 1,25-34,Instagram
CUST00193,218,1,424.74,1,1,1,06_At-Risk (Dormant),None,0,Tier 2,45+,Influencer
CUST00194,3,6,4197.11,5,4,4,02_Loyal & Engaged,None,3,Tier 2,18-24,Instagram
CUST00195,3,2,1955.96,5,1,2,03_Promising,None,1,Tier 1,18-24,Influencer
CUST00196,85,2,1272.38,3,1,2,08_Unclassified,None,1,Tier 2,45+,Marketplace
CUST00197,9,12,11523.66,5,5,5,01_Champions,Silver,3,Tier 3,25-34,Referral
CUST00198,26,10,7958.04,4,5,5,01_Champions,Silver,2,Tier 1,35-44,Referral
CUST00199,49,5,4359.83,3,4,4,02_Loyal & Engaged,Silver,1,Tier 3,25-34,Google Search
CUST00200,26,9,7636.45,4,5,5,01_Champions,Gold,1,Tier 2,18-24,Instagram
CUST00201,154,7,6691.56,2,5,5,04_Needs Nurturing,None,2,Tier 1,35-44,Organic
CUST00202,48,2,2363.2200000000003,3,1,3,08_Unclassified,None,0,Tier 1,25-34,Referral
CUST00203,175,2,743.3499999999999,2,1,1,06_At-Risk (Dormant),None,0,Tier 3,35-44,Instagram
CUST00204,47,6,3646.77,3,4,4,04_Needs Nurturing,Platinum,0,Tier 1,25-34,Referral
CUST00205,7,6,3610.58,5,4,4,03_Promising,None,0,Tier 1,18-24,Referral
CUST00206,179,10,6479.7,2,5,5,04_Needs Nurturing,Gold,3,Tier 3,35-44,Instagram
CUST00207,79,1,193.1,3,1,1,08_Unclassified,None,0,Tier 1,25-34,Influencer
CUST00208,152,6,6865.35,2,4,5,04_Needs Nurturing,None,1,Tier 1,18-24,Organic
CUST00209,340,5,3422.88,1,4,4,08_Unclassified,None,1,Tier 3,25-34,Instagram
CUST00210,189,2,1254.8700000000001,2,1,2,06_At-Risk (Dormant),None,0,Tier 1,18-24,Influencer
CUST00211,28,7,27920.05,4,5,5,02_Loyal & Engaged,None,1,Tier 2,35-44,Instagram
CUST00212,265,3,2071.6800000000003,1,2,2,06_At-Risk (Dormant),None,0,Tier 2,25-34,Instagram
CUST00213,147,2,1680.61,2,1,2,05_At-Risk (High Concern),None,2,Tier 3,25-34,Organic
CUST00214,125,1,1427.16,2,1,2,06_At-Risk (Dormant),None,0,Tier 1,18-24,Instagram
CUST00215,95,3,1564.1,3,2,2,04_Needs Nurturing,Silver,1,Tier 1,25-34,Marketplace
CUST00216,109,1,1349.42,3,1,2,08_Unclassified,Silver,1,Tier 1,35-44,Google Search
CUST00217,140,3,1179.94,2,2,2,06_At-Risk (Dormant),Silver,0,Tier 1,18-24,Google Search
CUST00218,15,4,2728.57,5,3,3,03_Promising,None,0,Tier 2,18-24,Marketplace
CUST00219,215,6,2782.79,1,4,3,08_Unclassified,Silver,1,Tier 1,35-44,Organic
CUST00220,19,4,1750.5,4,3,2,03_Promising,None,1,Tier 3,18-24,Referral
CUST00221,9,3,1357.66,5,2,2,03_Promising,None,0,Tier 3,25-34,Instagram
CUST00222,247,2,1259.5,1,1,2,05_At-Risk (High Concern),None,1,Tier 1,45+,Organic
CUST00223,164,1,757.58,2,1,1,05_At-Risk (High Concern),Silver,1,Tier 2,25-34,Marketplace
CUST00224,8,4,3249.04,5,3,4,02_Loyal & Engaged,None,1,Tier 1,25-34,Organic
CUST00225,149,3,3012.6,2,2,3,06_At-Risk (Dormant),Silver,0,Tier 1,18-24,Instagram
CUST00226,5,4,3683.7,5,3,4,02_Loyal & Engaged,Silver,1,Tier 1,25-34,Instagram
CUST00227,214,6,4383.02,1,4,4,08_Unclassified,Silver,2,Tier 1,35-44,Marketplace
CUST00228,143,7,4150.72,2,5,4,04_Needs Nurturing,Silver,2,Tier 3,25-34,Referral
CUST00229,153,5,3077.41,2,4,3,04_Needs Nurturing,Silver,1,Tier 2,35-44,Google Search
CUST00230,16,9,8646.32,5,5,5,01_Champions,None,2,Tier 1,25-34,Instagram
CUST00231,22,4,2330.3900000000003,4,3,3,03_Promising,None,0,Tier 1,25-34,Google Search
CUST00232,8,3,3010.99,5,2,3,03_Promising,None,0,Tier 2,25-34,Marketplace
CUST00233,422,3,1626.9899999999998,1,2,2,06_At-Risk (Dormant),None,0,Tier 2,25-34,Instagram
CUST00234,35,7,5988.42,4,5,5,03_Promising,None,0,Tier 2,25-34,Organic
CUST00235,13,5,3186.58,5,4,4,03_Promising,None,0,Tier 1,25-34,Organic
CUST00236,18,2,1796.52,5,1,2,03_Promising,None,1,Tier 1,18-24,Instagram
CUST00237,30,5,4240.2,4,4,4,03_Promising,Platinum,0,Tier 1,25-34,Organic
CUST00238,57,3,3798.2000000000003,3,2,4,04_Needs Nurturing,None,2,Tier 1,35-44,Organic
CUST00239,381,1,208.1,1,1,1,06_At-Risk (Dormant),Silver,0,Tier 1,25-34,Instagram
CUST00240,18,3,2710.16,5,2,3,03_Promising,Silver,1,Tier 1,25-34,Organic
CUST00241,7,4,4566.46,5,3,4,03_Promising,None,0,Tier 2,18-24,Instagram
CUST00242,16,7,4040.24,5,5,4,03_Promising,None,0,Tier 2,18-24,Organic
CUST00243,130,4,3129.06,2,3,4,04_Needs Nurturing,Gold,1,Tier 1,35-44,Organic
CUST00244,205,2,2449.86,1,1,3,06_At-Risk (Dormant),None,0,Tier 2,25-34,Marketplace
CUST00245,9,5,3729.23,5,4,4,03_Promising,Platinum,0,Tier 2,18-24,Organic
CUST00246,34,5,3071.41,4,4,3,02_Loyal & Engaged,Silver,1,Tier 3,25-34,Instagram
CUST00247,118,11,5611.35,2,5,5,04_Needs Nurturing,None,3,Tier 2,25-34,Marketplace
CUST00248,53,8,4617.07,3,5,4,04_Needs Nurturing,None,0,Tier 1,25-34,Influencer
CUST00249,223,3,1761.46,1,2,2,06_At-Risk (Dormant),Silver,0,Tier 2,35-44,Organic
CUST00250,37,2,1335.96,4,1,2,03_Promising,Silver,0,Tier 1,25-34,Referral
CUST00251,102,1,966.73,3,1,1,08_Unclassified,None,1,Tier 2,25-34,Instagram
CUST00252,251,6,5194.02,1,4,5,08_Unclassified,Silver,0,Tier 1,45+,Google Search
CUST00253,252,3,1901.1299999999999,1,2,2,06_At-Risk (Dormant),Platinum,0,Tier 1,18-24,Influencer
CUST00254,244,4,3041.57,1,3,3,08_Unclassified,None,0,Tier 2,25-34,Influencer
CUST00255,50,7,5070.56,3,5,5,02_Loyal & Engaged,None,2,Tier 2,18-24,Marketplace
CUST00256,242,2,1727.8400000000001,1,1,2,05_At-Risk (High Concern),None,1,Tier 1,35-44,Organic
CUST00257,51,3,1361.41,3,2,2,04_Needs Nurturing,None,0,Tier 1,25-34,Organic
CUST00258,36,11,6740.7300000000005,4,5,5,02_Loyal & Engaged,None,1,Tier 3,18-24,Google Search
CUST00259,253,1,1519.33,1,1,2,06_At-Risk (Dormant),None,0,Tier 1,25-34,Influencer
CUST00260,14,3,2237.58,5,2,3,03_Promising,None,0,Tier 3,45+,Instagram
CUST00261,7,3,2884.77,5,2,3,03_Promising,None,0,Tier 2,35-44,Google Search
CUST00262,10,3,1649.48,5,2,2,03_Promising,Silver,0,Tier 2,18-24,Marketplace
CUST00263,50,13,8211.17,3,5,5,02_Loyal & Engaged,Platinum,6,Tier 3,18-24,Google Search
CUST00264,92,2,671.0999999999999,3,1,1,08_Unclassified,Silver,1,Tier 3,25-34,Referral
CUST00265,10,3,1918.74,5,2,2,03_Promising,Gold,0,Tier 1,35-44,Google Search
CUST00266,219,4,5306.62,1,3,5,08_Unclassified,None,2,Tier 1,45+,Organic
CUST00267,90,4,4026.2300000000005,3,3,4,02_Loyal & Engaged,None,2,Tier 2,25-34,Organic
CUST00268,40,4,4982.92,4,3,5,02_Loyal & Engaged,None,1,Tier 2,18-24,Influencer
CUST00269,34,4,3130.84,4,3,4,02_Loyal & Engaged,None,1,Tier 2,25-34,Instagram
CUST00270,14,4,3158.67,5,3,4,02_Loyal & Engaged,Silver,0,Tier 2,25-34,Marketplace
CUST00271,10,6,5326.4,5,4,5,03_Promising,None,0,Tier 3,18-24,Organic
CUST00272,54,14,14120.16,3,5,5,02_Loyal & Engaged,Gold,0,Tier 2,25-34,Google Search
CUST00273,23,9,6554.51,4,5,5,02_Loyal & Engaged,None,4,Tier 3,25-34,Referral
